name,nature,termStart,termEnd,state,constituency,party,gender,education,educationDetails,age,debates,bills,questions,attendance,notes
Udasi Shivkumar Chanabasappa,Elected,18-May-09,In office,Karnataka,Haveri,Bharatiya Janata Party,Male,Graduate,"B.E.; Educated at Bangalore Institute of Engineering, Bangalore, Karnataka",45,39,0,79,89, (All data updated till 22 May 2012)
Uday Pratap Singh,Elected,18-May-09,In office,Madhya Pradesh,Hoshangabad,Indian National Congress,Male,Graduate,B.Com Educated at Sagar University,47,25,0,142,82, (All data updated till 22 May 2012)
Uday Singh Alias Pappu Singh,Elected,18-May-09,In office,Bihar,Purnia,Bharatiya Janata Party,Male,Inter/ Higher Secondary,Higher Secondary; Eduated at Delhi Public School (1970) ,59,12,0,361,73, (All data updated till 22 May 2012)
Uma Shanker Singh,Elected,18-May-09,In office,Bihar,Maharajganj,Rashtriya Janata Dal,Male,Inter/ Higher Secondary,"Educated at D.A.V. College, Siwan, Bihar",72,13,0,105,88, (All data updated till 22 May 2012)
Usha Verma,Elected,18-May-09,In office,Uttar Pradesh,Hardoi,Samajwadi Party,Female,Post Graduate,"M.A. (English); Educated at S.D. Degree College and B.S.M. Degree College, Roorkee, Uttar Pradesh",49,16,0,212,84, (All data updated till 22 May 2012)
V. Kishore Chandra S. Deo,Elected,18-May-09,In office,Andhra Pradesh,Araku,Indian National Congress,Male,Post Graduate,"B.A. (Eco), M.A. (Political Science); Educated at Madras Christian College, Tambaram, Madras",65,2,0,0,91,"This MP was appointed a minister in July, 2011.  Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 25th March, 2011. (All data updated till 22 May 2012)"
V. Narayanasamy,Elected,18-May-09,In office,Puducherry,Puducherry,Indian National Congress,Male,Post Graduate,"B.A., M.L.; Tagore Art College, Puducherry and Madras Law College, Chennai",65,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.� They do not sign the attendance register, ask questions, or introduce private member bills. (All data updated till 22 May 2012)"
Vijay Bahadur Singh,Elected,18-May-09,In office,Uttar Pradesh,Hamirpur,Bahujan Samaj Party,Male,Graduate,"B.A., LL.B.; Educated at Allahabad University (Uttar Pradesh) ",71,56,0,99,85, (All data updated till 22 May 2012)
Vijay Bahuguna,Elected,18-May-09,In office,Uttarakhand,Tehri Garhwal,Indian National Congress,Male,Graduate,"B.A., LLB.; Educated at Allahabad University, Uttar Pradesh",65,13,0,18,80, (All data updated till 22 May 2012)
Vijay Inder Singla,Elected,18-May-09,In office,Punjab,Sangrur,Indian National Congress,Male,Graduate,"B.E.; Educated at B.M.S. College of Engineering, Bangalore (Karnataka) ",40,2,0,9,85, (All data updated till 22 May 2012)
Vikrambhai Arjanbhai Maadam,Elected,18-May-09,In office,Gujarat,Jamnagar,Indian National Congress,Male,Graduate,"B.A. (Political Science); Educated at Saurashtra University, Jamnagar (Gujarat) ",54,8,0,637,77, (All data updated till 22 May 2012)
Vilas Baburao Muttemwar,Elected,18-May-09,In office,Maharashtra,Nagpur,Indian National Congress,Male,Graduate,"B. Com.; Educated at Nagpur University, Nagpur (Maharashtra) ",63,29,0,500,81, (All data updated till 22 May 2012)
Vinay Kumar Pandey,Elected,18-May-09,In office,Uttar Pradesh,Shrawasti,Indian National Congress,Male,Doctorate,"Ph.D. (Paleobotany), M.Sc. (Botany), PG Diploma in Comupter Science, Advanced Ratna, Certificate Course in Processing adn Cultivation of Aromatic and Medical Plants; Educated at RML University Faizabad, Uttar Pradesh (MLK, PG College, Balrampur, Uttar Pra",47,36,0,186,86, (All data updated till 22 May 2012)
Vincent H Pala,Elected,18-May-09,In office,Meghalaya,Shillong,Indian National Congress,Male,Graduate,"B.E. (Civil); Educated at Jalpaiguri Govt. Engineering College, North Bengal University, New Jalpaiguri, West Bengal",44,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.� They do not sign the attendance register, ask questions, or introduce private member bills. (All data updated till 22 May 2012)"
Virbhadra Singh,Elected,18-May-09,In office,Himachal Pradesh,Mandi,Indian National Congress,Male,Post Graduate,"B.A., M.A.; Educated at Bishop Cotton`s School, Shimla and St. Stephen`s College, New Delhi",77,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.� They do not sign the attendance register, ask questions, or introduce private member bills. (All data updated till 22 May 2012)"
Virender Kashyap,Elected,18-May-09,In office,Himachal Pradesh,Shimla,Bharatiya Janata Party,Male,Post Graduate,M.Sc. (Physics); Educated at Himachal Pradesh University,61,91,0,326,89, (All data updated till 22 May 2012)
Virendra Kumar,Elected,18-May-09,In office,Madhya Pradesh,Tikamgarh,Bharatiya Janata Party,Male,Doctorate,"M.A. (Economics), Ph.D (Child Labour); Educated at Dr. Harisingh University, Sagar, Madhya Pradesh",58,138,0,133,95, (All data updated till 22 May 2012)
Vishnu Deo Sai,Elected,18-May-09,In office,Chhattisgarh,Raigarh,Bharatiya Janata Party,Male,Inter/ Higher Secondary,"Higher Secondary; Educated at Loyola Higher Secondary School, Kunkuri, Jashpur, Chattisgarh",48,3,0,11,56, (All data updated till 22 May 2012)
Vishwa Mohan Kumar,Elected,18-May-09,In office,Bihar,Supaul,Janata Dal (United),Male,Post Graduate,M.Sc.,54,47,0,316,81, (All data updated till 22 May 2012)
Vitthalbhai Hansrajbhai Radadiya,Elected,18-May-09,In office,Gujarat,Porbandar,Indian National Congress,Male,Graduate,B.A.,53,1,0,167,26, (All data updated till 22 May 2012)
Wakchaure Bhausaheb Rajaram,Elected,18-May-09,In office,Maharashtra,Shirdi,Shiv Sena,Male,Graduate,"B.Com., B.A., LL.B., D.L.L. & L.W., G.A.C. & A., D.E.D.; Educated at Pune University and Ahmednagar",62,17,4,564,66, (All data updated till 22 May 2012)
Y. S. Jagan Mohan Reddy,Elected,13-May-11,In office,Andhra Pradesh,Kadapa,Yuvajana Sramika Rythu Congress Party,Male,Graduate,B.Com.,39,2,0,0,44, (All data updated till 22 May 2012)
